,id_turma,discente,unidade,nota,media_final,descricao,numero_total_faltas,disciplina,semestre
115,51702,0e3f4a13180bc8e086ed5914cac79b58,2,7.1,7.6,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
116,51702,0e3f4a13180bc8e086ed5914cac79b58,3,7.6,7.6,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
117,51702,22d2aa905becb259d08482ce5681cb80,3,6.8,7.0,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
118,51702,22d2aa905becb259d08482ce5681cb80,1,7.8,7.0,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
119,51702,22d2aa905becb259d08482ce5681cb80,2,6.5,7.0,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
120,51702,1c281dbd253735d0158a848e0ba85f87,1,2.8,0.9,REPROVADO POR MÉDIA E POR FALTAS,26,PENSAMENTO COMPUTACIONAL,2020.1
121,51702,1c281dbd253735d0158a848e0ba85f87,2,0.0,0.9,REPROVADO POR MÉDIA E POR FALTAS,26,PENSAMENTO COMPUTACIONAL,2020.1
122,51702,1c281dbd253735d0158a848e0ba85f87,3,0.0,0.9,REPROVADO POR MÉDIA E POR FALTAS,26,PENSAMENTO COMPUTACIONAL,2020.1
123,51702,02a039d3dca8b056cfdc9fe15a4560ef,1,6.2,6.4,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
124,51702,02a039d3dca8b056cfdc9fe15a4560ef,2,6.6,6.4,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
125,51702,02a039d3dca8b056cfdc9fe15a4560ef,3,6.5,6.4,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
126,51702,8b126a67d33eb20e7981de6b010f2103,1,7.5,7.1,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
127,51702,8b126a67d33eb20e7981de6b010f2103,2,6.9,7.1,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
128,51702,8b126a67d33eb20e7981de6b010f2103,3,6.9,7.1,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
129,51702,e14539791289ac19552e73ef09b8a34e,1,2.2,0.7,REPROVADO,12,PENSAMENTO COMPUTACIONAL,2020.1
130,51702,e14539791289ac19552e73ef09b8a34e,2,0.0,0.7,REPROVADO,12,PENSAMENTO COMPUTACIONAL,2020.1
131,51702,e14539791289ac19552e73ef09b8a34e,3,0.0,0.7,REPROVADO,12,PENSAMENTO COMPUTACIONAL,2020.1
132,51702,7200068b40fce2e8ec327ab0ce8caf4e,1,9.2,9.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
133,51702,7200068b40fce2e8ec327ab0ce8caf4e,2,9.2,9.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
134,51702,7200068b40fce2e8ec327ab0ce8caf4e,3,9.2,9.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
135,51702,0ed83e91e04b042c1f6becb198612faa,2,5.2,5.4,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
136,51702,0ed83e91e04b042c1f6becb198612faa,3,5.4,5.4,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
137,51702,0ed83e91e04b042c1f6becb198612faa,1,5.6,5.4,APROVADO POR NOTA,8,PENSAMENTO COMPUTACIONAL,2020.1
138,51702,f0b780ab20e8a40daace5d245c684e72,2,0.0,0.6,REPROVADO POR MÉDIA E POR FALTAS,22,PENSAMENTO COMPUTACIONAL,2020.1
139,51702,f0b780ab20e8a40daace5d245c684e72,3,0.0,0.6,REPROVADO POR MÉDIA E POR FALTAS,22,PENSAMENTO COMPUTACIONAL,2020.1
140,51702,f0b780ab20e8a40daace5d245c684e72,1,1.7,0.6,REPROVADO POR MÉDIA E POR FALTAS,22,PENSAMENTO COMPUTACIONAL,2020.1
141,51702,bbe606ec8a1dd5ee310d180634d9ccac,1,10.0,9.0,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
142,51702,bbe606ec8a1dd5ee310d180634d9ccac,2,8.0,9.0,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
143,51702,bbe606ec8a1dd5ee310d180634d9ccac,3,9.0,9.0,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
144,51702,71e28639d88df779518d0a8404624801,3,7.9,7.3,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
145,51702,71e28639d88df779518d0a8404624801,1,5.0,7.3,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
146,51702,71e28639d88df779518d0a8404624801,2,8.9,7.3,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
147,51702,6c4f2c653a28888b5bf86f669404eb8c,2,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,48,PENSAMENTO COMPUTACIONAL,2020.1
148,51702,6c4f2c653a28888b5bf86f669404eb8c,3,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,48,PENSAMENTO COMPUTACIONAL,2020.1
149,51702,6c4f2c653a28888b5bf86f669404eb8c,1,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,48,PENSAMENTO COMPUTACIONAL,2020.1
150,51702,c76dca78945973dab842b3a746e3fcb6,3,0.0,0.7,REPROVADO POR MÉDIA E POR FALTAS,42,PENSAMENTO COMPUTACIONAL,2020.1
151,51702,c76dca78945973dab842b3a746e3fcb6,1,2.2,0.7,REPROVADO POR MÉDIA E POR FALTAS,42,PENSAMENTO COMPUTACIONAL,2020.1
152,51702,c76dca78945973dab842b3a746e3fcb6,2,0.0,0.7,REPROVADO POR MÉDIA E POR FALTAS,42,PENSAMENTO COMPUTACIONAL,2020.1
153,51702,77676bc61c5fa40a70b883a72cf77cfd,3,5.2,5.4,APROVADO POR NOTA,10,PENSAMENTO COMPUTACIONAL,2020.1
154,51702,77676bc61c5fa40a70b883a72cf77cfd,1,6.2,5.4,APROVADO POR NOTA,10,PENSAMENTO COMPUTACIONAL,2020.1
155,51702,77676bc61c5fa40a70b883a72cf77cfd,2,4.8,5.4,APROVADO POR NOTA,10,PENSAMENTO COMPUTACIONAL,2020.1
156,51702,8ed6751e9ebe3fc320d0bac44b923c01,1,6.5,8.6,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
157,51702,8ed6751e9ebe3fc320d0bac44b923c01,2,9.6,8.6,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
158,51702,8ed6751e9ebe3fc320d0bac44b923c01,3,9.6,8.6,APROVADO,6,PENSAMENTO COMPUTACIONAL,2020.1
159,51702,40ce7a9b9e28a516632684add773b344,1,9.3,9.7,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
160,51702,40ce7a9b9e28a516632684add773b344,2,9.8,9.7,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
161,51702,40ce7a9b9e28a516632684add773b344,3,9.9,9.7,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
162,51702,efb840b8daf0d4337af7b25f0fe59f50,1,1.4,0.5,REPROVADO POR MÉDIA E POR FALTAS,42,PENSAMENTO COMPUTACIONAL,2020.1
163,51702,efb840b8daf0d4337af7b25f0fe59f50,2,0.0,0.5,REPROVADO POR MÉDIA E POR FALTAS,42,PENSAMENTO COMPUTACIONAL,2020.1
